Time   | Frame  | Pose  | Hand  | Raw Handedness   | History | Top-1 Pred             | Top-2 Pred            
 9.16s |    248 | True  | True  | Right:0.96       |      30 | sorry (97.5%)          | good (1.2%)           
 9.24s |    250 | True  | False | None             |      30 | sorry (97.5%)          | good (1.2%)           
 9.31s |    252 | True  | False | None             |      30 | sorry (97.5%)          | good (1.2%)           
 9.39s |    254 | True  | True  | Right:0.93       |      30 | sorry (98.5%)          | good (0.8%)           
 9.46s |    256 | True  | True  | Right:0.93       |      30 | sorry (98.7%)          | good (0.9%)           
 9.53s |    258 | True  | True  | Right:0.97       |      30 | sorry (97.7%)          | good (1.5%)           
 9.61s |    260 | True  | True  | Right:0.98       |      30 | sorry (96.6%)          | good (1.9%)           
 9.68s |    262 | True  | False | None             |      30 | sorry (96.6%)          | good (1.9%)           
 9.75s |    264 | True  | True  | Right:0.96       |      30 | sorry (93.9%)          | good (2.9%)           
 9.83s |    266 | True  | True  | Right:0.96       |      30 | sorry (95.7%)          | morning (1.6%)        
 9.90s |    268 | True  | False | None             |      30 | sorry (95.7%)          | morning (1.6%)        
 9.98s |    270 | True  | False | None             |      30 | sorry (95.7%)          | morning (1.6%)        
10.05s |    272 | True  | False | None             |      30 | sorry (95.7%)          | morning (1.6%)        
10.12s |    274 | True  | False | None             |      30 | sorry (95.7%)          | morning (1.6%)        
10.20s |    276 | True  | False | None             |      30 | sorry (95.7%)          | morning (1.6%)        
10.27s |    278 | True  | True  | Right:0.86       |      30 | sorry (95.5%)          | morning (1.8%)        
10.35s |    280 | True  | True  | Right:0.86       |      30 | sorry (91.0%)          | morning (4.0%)        
10.42s |    282 | True  | True  | Left:0.51        |      30 | sorry (91.0%)          | morning (3.7%)        
10.49s |    284 | True  | False | None             |      30 | sorry (91.0%)          | morning (3.7%)        
10.57s |    286 | True  | False | None             |      30 | sorry (91.0%)          | morning (3.7%)        
10.64s |    288 | True  | False | None             |      30 | sorry (91.0%)          | morning (3.7%)        
