Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
-----------------------------------------------------------------------------------------------------------------------------
 0.00s |      0 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.08s |      3 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.17s |      6 | True  | True   | False | None             |    99 |     0 |     0 |     0 | N/A                    | N/A                   
 0.25s |      9 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     1 | N/A                    | N/A                   
 0.33s |     12 | True  | True   | True  | Right:0.96       |    99 |     0 |    63 |     2 | N/A                    | N/A                   
 0.42s |     15 | True  | True   | True  | Right:0.68       |    99 |     0 |    63 |     3 | thank you (96.8%)      | good (2.3%)           
 0.50s |     18 | True  | True   | True  | Right:0.85       |    99 |     0 |    63 |     4 | thank you (78.7%)      | morning (13.1%)       
 0.59s |     21 | True  | True   | True  | Right:0.71       |    99 |     0 |    63 |     5 | thank you (78.3%)      | morning (15.2%)       
 0.67s |     24 | True  | True   | True  | Right:0.97       |    99 |     0 |    63 |     6 | thank you (76.0%)      | morning (19.8%)       
 0.75s |     27 | True  | True   | True  | Right:0.97       |    99 |     0 |    63 |     7 | thank you (86.9%)      | morning (10.7%)       
 0.84s |     30 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |     8 | thank you (94.0%)      | morning (4.5%)        
 0.92s |     33 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.00s |     36 | True  | False  | False | None             |     0 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.09s |     39 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.17s |     42 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.25s |     45 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.34s |     48 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.42s |     51 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.51s |     54 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.59s |     57 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.67s |     60 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.76s |     63 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.84s |     66 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 1.92s |     69 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 2.01s |     72 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 2.09s |     75 | True  | True   | False | None             |    99 |     0 |     0 |     9 | thank you (97.2%)      | morning (1.2%)        
 2.17s |     78 | True  | True   | True  | Right:0.90       |    99 |     0 |    63 |    10 | thank you (96.2%)      | good (2.3%)           
 2.26s |     81 | True  | True   | True  | Right:0.93       |    99 |     0 |    63 |    11 | thank you (97.2%)      | good (1.9%)           
 2.34s |     84 | True  | True   | False | None             |    99 |     0 |     0 |    11 | thank you (97.2%)      | good (1.9%)           
 2.43s |     87 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |    12 | thank you (95.3%)      | good (4.1%)           
 2.51s |     90 | False | False  | False | None             |     0 |     0 |     0 |    12 | thank you (95.3%)      | good (4.1%)           
 2.59s |     93 | True  | True   | True  | Right:0.96       |    99 |     0 |    63 |    13 | good (96.1%)           | morning (3.4%)        
 2.68s |     96 | False | False  | True  | Right:0.95       |     0 |     0 |    63 |    14 | good (96.6%)           | morning (3.2%)        
 2.76s |     99 | True  | False  | True  | Right:0.99       |     0 |     0 |    63 |    15 | good (96.7%)           | morning (2.9%)        
 2.84s |    102 | False | False  | False | None             |     0 |     0 |     0 |    15 | good (96.7%)           | morning (2.9%)        
 2.93s |    105 | True  | True   | False | None             |    99 |     0 |     0 |    15 | good (96.7%)           | morning (2.9%)        
 3.01s |    108 | True  | True   | True  | Right:0.98       |    99 |     0 |    63 |    16 | good (89.4%)           | morning (7.3%)        
 3.09s |    111 | True  | True   | True  | Right:0.95       |    99 |     0 |    63 |    17 | good (44.3%)           | thank you (28.2%)     
 3.18s |    114 | True  | True   | True  | Right:0.97       |    99 |     0 |    63 |    18 | good (49.3%)           | morning (41.8%)       
