Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
13.02s |    483 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.10s |    486 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.18s |    489 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.26s |    492 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.34s |    495 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.42s |    498 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.50s |    501 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.58s |    504 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.66s |    507 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.74s |    510 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.83s |    513 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.91s |    516 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
13.99s |    519 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.07s |    522 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.15s |    525 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.23s |    528 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.31s |    531 | True  | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.39s |    534 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.47s |    537 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.55s |    540 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
14.63s |    543 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (98.5%)           | morning (1.5%)        
